"Name","Sex","Age","Country","Year","Event","Medal","Population","GDP_per_Capita","Density","HappinessRank","HappinessScore","total_medal_amount"
"Tracy Wilson (-Kinsella)","F",26,"CAN",1988,"Figure Skating Mixed Ice Dancing","Bronze",35851774,43248.52991,4,7,7.328,611
"Pernilla Margareta Stephanie Winberg","F",16,"SWE",2006,"Ice Hockey Women's Ice Hockey","Silver",9798871,50579.67365,25,9,7.314,428
"Dominik Windisch","M",24,"ITA",2014,"Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay","Bronze",60802085,29957.80432,206,47,6,191
"Harald Winkler","M",29,"AUT",1992,"Bobsleigh Men's Four","Gold",8611088,43774.98517,109,12,7.139,280
"Peter Wirnsberger","M",21,"AUT",1980,"Alpine Skiing Men's Downhill","Silver",8611088,43774.98517,109,12,7.139,280
"Joseph Alston Wise","M",27,"CAN",1932,"Ice Hockey Men's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"David Wise","M",23,"USA",2014,"Freestyle Skiing Men's Halfpipe","Gold",321418820,56115.71843,36,18,6.886,635
"Christine Diane ""Chris"" Witty","F",22,"USA",1998,"Speed Skating Women's 1,000 metres","Silver",321418820,56115.71843,36,18,6.886,635
"Christine Diane ""Chris"" Witty","F",22,"USA",1998,"Speed Skating Women's 1,500 metres","Bronze",321418820,56115.71843,36,18,6.886,635
"Christine Diane ""Chris"" Witty","F",26,"USA",2002,"Speed Skating Women's 1,000 metres","Gold",321418820,56115.71843,36,18,6.886,635
"Marit Elisabeth Wold-Mikkelsplass","F",22,"NOR",1988,"Cross Country Skiing Women's 4 x 5 kilometres Relay","Silver",5195921,74400.36978,15,2,7.594,443
"Marit Elisabeth Wold-Mikkelsplass","F",28,"NOR",1994,"Cross Country Skiing Women's 30 kilometres","Silver",5195921,74400.36978,15,2,7.594,443
"Marit Elisabeth Wold-Mikkelsplass","F",32,"NOR",1998,"Cross Country Skiing Women's 4 x 5 kilometres Relay","Silver",5195921,74400.36978,15,2,7.594,443
"Jenny Wolf (-Lotze)","F",31,"GER",2010,"Speed Skating Women's 500 metres","Silver",81413145,41313.31399,240,15,6.965,386
"Sigrid Wolf","F",23,"AUT",1988,"Alpine Skiing Women's Super G","Gold",8611088,43774.98517,109,12,7.139,280
"Timothy Lyle ""Tim"" Wood","M",19,"USA",1968,"Figure Skating Men's Singles","Silver",321418820,56115.71843,36,18,6.886,635
"Keith Eugene Woodall","M",29,"CAN",1956,"Ice Hockey Men's Ice Hockey","Bronze",35851774,43248.52991,4,7,7.328,611
"Jason Douglas Woolley","M",22,"CAN",1992,"Ice Hockey Men's Ice Hockey","Silver",35851774,43248.52991,4,7,7.328,611
